Time (CAT);Open;High;Low;Close;Volume 
24/12/2015 03:00:00;1.09156;1.09217;1.09125;1.09166;3666.55
24/12/2015 04:00:00;1.09166;1.09348;1.09166;1.09327;3956.53
24/12/2015 05:00:00;1.09326;1.09416;1.09282;1.09295;3539.96
24/12/2015 06:00:00;1.09295;1.09334;1.09267;1.09334;2920.15
24/12/2015 07:00:00;1.09334;1.09395;1.09334;1.0937;4161.86
24/12/2015 08:00:00;1.09371;1.09392;1.09296;1.09324;2964.55
24/12/2015 09:00:00;1.09324;1.095;1.09321;1.09474;4101.75
24/12/2015 10:00:00;1.09472;1.09606;1.0941;1.09556;6156.92
24/12/2015 11:00:00;1.09557;1.09675;1.09509;1.09601;5899.79
24/12/2015 12:00:00;1.09602;1.0965;1.09572;1.09572;4224.59
24/12/2015 13:00:00;1.09572;1.09595;1.09468;1.09468;4289
24/12/2015 14:00:00;1.09466;1.0949;1.09326;1.09459;5364.18
24/12/2015 15:00:00;1.09459;1.09512;1.09351;1.0943;6071.36
24/12/2015 16:00:00;1.0943;1.096;1.09352;1.09584;6644.45
24/12/2015 17:00:00;1.09584;1.09625;1.09424;1.09589;6476.12
24/12/2015 18:00:00;1.09588;1.09617;1.09499;1.09547;4004.97
24/12/2015 19:00:00;1.09547;1.09624;1.09477;1.09526;4018.43
24/12/2015 20:00:00;1.09526;1.09667;1.09517;1.09646;2439.22
24/12/2015 21:00:00;1.09646;1.09677;1.09594;1.09677;1143.98
24/12/2015 22:00:00;1.09677;1.09677;1.0965;1.09661;900.43
24/12/2015 23:00:00;1.09657;1.09673;1.09585;1.09673;2058.1
25/12/2015 00:00:00;1.09662;1.0968;1.09625;1.0968;248.93
25/12/2015 01:00:00;1.09678;1.09687;1.09668;1.09678;331.73
25/12/2015 02:00:00;1.09679;1.09686;1.09461;1.09511;872.47
25/12/2015 03:00:00;1.09512;1.09621;1.09492;1.09563;1077.95
25/12/2015 04:00:00;1.09558;1.09618;1.09444;1.09572;785.34
25/12/2015 05:00:00;1.09572;1.09663;1.09572;1.09648;591.94
25/12/2015 06:00:00;1.09648;1.09686;1.09634;1.09683;588.6
25/12/2015 07:00:00;1.09685;1.097;1.09662;1.09696;366.8
25/12/2015 08:00:00;1.09701;1.09703;1.09669;1.09696;378.79
25/12/2015 09:00:00;1.09694;1.09754;1.096;1.09708;819.49
25/12/2015 10:00:00;1.09708;1.09708;1.09708;1.09708;0
25/12/2015 11:00:00;1.09708;1.09708;1.09708;1.09708;0
25/12/2015 12:00:00;1.09708;1.09708;1.09708;1.09708;0
25/12/2015 13:00:00;1.09708;1.09708;1.09708;1.09708;0
25/12/2015 14:00:00;1.09708;1.09708;1.09708;1.09708;0
25/12/2015 15:00:00;1.09708;1.09708;1.09708;1.09708;0
25/12/2015 16:00:00;1.09708;1.09708;1.09708;1.09708;0
25/12/2015 17:00:00;1.09708;1.09708;1.09708;1.09708;0
25/12/2015 18:00:00;1.09708;1.09708;1.09708;1.09708;0
25/12/2015 19:00:00;1.09708;1.09708;1.09708;1.09708;0
25/12/2015 20:00:00;1.09708;1.09708;1.09708;1.09708;0
25/12/2015 21:00:00;1.09708;1.09708;1.09708;1.09708;0
25/12/2015 22:00:00;1.09708;1.09708;1.09708;1.09708;0
25/12/2015 23:00:00;1.09708;1.09708;1.09708;1.09708;0
28/12/2015 00:00:00;1.09556;1.09713;1.09555;1.09636;1648.93
28/12/2015 01:00:00;1.09635;1.09699;1.09607;1.09645;3611.7
28/12/2015 02:00:00;1.09645;1.09749;1.09591;1.09692;4256.95
28/12/2015 03:00:00;1.09692;1.09731;1.09667;1.09707;4613.43
28/12/2015 04:00:00;1.09706;1.09745;1.09695;1.09725;4713.1
28/12/2015 05:00:00;1.09725;1.09787;1.09723;1.09777;3745.4
28/12/2015 06:00:00;1.09777;1.0978;1.09753;1.09755;4039.55
28/12/2015 07:00:00;1.09755;1.09756;1.09707;1.0975;4197.2
28/12/2015 08:00:00;1.09749;1.09751;1.09675;1.097;3986.46
28/12/2015 09:00:00;1.09701;1.09701;1.09563;1.09656;5439.12
28/12/2015 10:00:00;1.09657;1.09767;1.09634;1.09712;6514.44
28/12/2015 11:00:00;1.09712;1.09821;1.09703;1.09794;6486.49
28/12/2015 12:00:00;1.09794;1.099;1.09761;1.09853;5803.16
28/12/2015 13:00:00;1.09853;1.09927;1.09836;1.09885;5707.89
28/12/2015 14:00:00;1.09884;1.09926;1.09707;1.09737;6694.73
28/12/2015 15:00:00;1.09737;1.09767;1.09604;1.09749;7721.67
28/12/2015 16:00:00;1.09749;1.09853;1.09721;1.09824;8169.28
28/12/2015 17:00:00;1.09822;1.09829;1.09585;1.09733;10985.96
28/12/2015 18:00:00;1.09734;1.09882;1.09683;1.09821;8413.64
28/12/2015 19:00:00;1.0982;1.09848;1.09753;1.09757;3492.53
28/12/2015 20:00:00;1.09757;1.09804;1.09693;1.09693;3665.69
28/12/2015 21:00:00;1.09692;1.09797;1.09692;1.09754;3694.69
28/12/2015 22:00:00;1.09754;1.09774;1.09709;1.09738;2920.24
28/12/2015 23:00:00;1.0974;1.09748;1.09682;1.09684;3467.63
29/12/2015 00:00:00;1.09683;1.09755;1.09674;1.09753;2714.04
29/12/2015 01:00:00;1.09754;1.09759;1.09697;1.09747;4737.48
29/12/2015 02:00:00;1.09747;1.09829;1.09745;1.09811;3440.41
29/12/2015 03:00:00;1.09812;1.09828;1.09786;1.09816;2097.36
29/12/2015 04:00:00;1.09816;1.0983;1.09755;1.09767;2284.49
29/12/2015 05:00:00;1.09767;1.09817;1.09746;1.09808;2316.6
29/12/2015 06:00:00;1.09808;1.09817;1.09734;1.09736;1875.45
29/12/2015 07:00:00;1.09736;1.09758;1.09704;1.09739;2153.5
29/12/2015 08:00:00;1.0974;1.09798;1.09654;1.0966;3465.3
29/12/2015 09:00:00;1.0966;1.09772;1.09603;1.09759;7611.76
29/12/2015 10:00:00;1.09758;1.09898;1.09719;1.09875;9009.95
29/12/2015 11:00:00;1.09875;1.0992;1.09753;1.09793;8670.33
29/12/2015 12:00:00;1.09792;1.09805;1.09663;1.09676;8645.4
29/12/2015 13:00:00;1.09676;1.09754;1.09664;1.09701;6266.13
29/12/2015 14:00:00;1.09701;1.0974;1.09644;1.09731;7348.48
29/12/2015 15:00:00;1.09731;1.09734;1.09096;1.09229;13564.91
29/12/2015 16:00:00;1.09228;1.09331;1.09216;1.09314;12316.3
29/12/2015 17:00:00;1.09314;1.09433;1.0905;1.09055;13621
29/12/2015 18:00:00;1.09053;1.09212;1.08992;1.09161;11295.92
29/12/2015 19:00:00;1.09161;1.09332;1.09129;1.09321;6117.89
29/12/2015 20:00:00;1.09321;1.09343;1.09217;1.0932;5255.62
29/12/2015 21:00:00;1.0932;1.0942;1.09294;1.09407;4743.89
29/12/2015 22:00:00;1.09405;1.09406;1.0932;1.09347;3967.02
29/12/2015 23:00:00;1.09345;1.09366;1.09186;1.09206;4006.4
30/12/2015 00:00:00;1.09201;1.09301;1.09201;1.09231;3800.66
30/12/2015 01:00:00;1.09232;1.09273;1.09228;1.09263;5559.3
30/12/2015 02:00:00;1.09261;1.09334;1.09234;1.0928;5593.05
30/12/2015 03:00:00;1.0928;1.09313;1.09194;1.09214;3607.25
30/12/2015 04:00:00;1.09213;1.09279;1.092;1.0926;3227.33
30/12/2015 05:00:00;1.0926;1.09317;1.09247;1.09313;2763.48
30/12/2015 06:00:00;1.09314;1.09345;1.09307;1.09314;1946.09
30/12/2015 07:00:00;1.09314;1.09361;1.0929;1.09297;2384.62
30/12/2015 08:00:00;1.09298;1.09355;1.09267;1.09283;3914.78
30/12/2015 09:00:00;1.09282;1.094;1.09269;1.09351;5868.56
30/12/2015 10:00:00;1.09351;1.09434;1.09332;1.09365;8669.12
30/12/2015 11:00:00;1.09365;1.0944;1.09292;1.09317;9008.96
30/12/2015 12:00:00;1.09317;1.09332;1.09203;1.09224;8113.13
30/12/2015 13:00:00;1.09226;1.09285;1.09149;1.09231;6544.51
30/12/2015 14:00:00;1.0923;1.0935;1.09216;1.09258;7851.35
30/12/2015 15:00:00;1.09258;1.0936;1.09084;1.09345;9690.69
30/12/2015 16:00:00;1.09347;1.09433;1.0916;1.092;10194.52
30/12/2015 17:00:00;1.092;1.09298;1.09054;1.09142;12781.17
30/12/2015 18:00:00;1.09139;1.09245;1.09048;1.0912;11402.82
30/12/2015 19:00:00;1.0912;1.09156;1.09023;1.09108;4101.45
30/12/2015 20:00:00;1.09106;1.09164;1.09035;1.09133;5432.61
30/12/2015 21:00:00;1.09134;1.09251;1.09082;1.0925;6396.01
30/12/2015 22:00:00;1.09249;1.09378;1.09208;1.09309;5584.25
30/12/2015 23:00:00;1.0931;1.09342;1.09297;1.09326;5236.25
31/12/2015 00:00:00;1.09326;1.09342;1.09244;1.09266;1729.49
31/12/2015 01:00:00;1.09264;1.09355;1.09263;1.09355;1972.86
31/12/2015 02:00:00;1.09355;1.09374;1.09333;1.09367;1315.47
31/12/2015 03:00:00;1.09366;1.09368;1.0922;1.09241;3683.63
31/12/2015 04:00:00;1.09242;1.0926;1.09189;1.09242;3559.54
31/12/2015 05:00:00;1.09242;1.09323;1.09232;1.09314;2584.57
31/12/2015 06:00:00;1.09311;1.09337;1.0929;1.09336;1984.47
31/12/2015 07:00:00;1.09336;1.09355;1.09261;1.09263;1167.61
31/12/2015 08:00:00;1.09264;1.09324;1.09257;1.09324;1475.95
31/12/2015 09:00:00;1.09322;1.09329;1.09235;1.09272;3748.97
31/12/2015 10:00:00;1.09274;1.09338;1.09148;1.0923;5874.4
31/12/2015 11:00:00;1.0923;1.09326;1.09221;1.09233;5693.29
31/12/2015 12:00:00;1.09234;1.09249;1.09001;1.09106;7221.1
31/12/2015 13:00:00;1.09102;1.09184;1.08883;1.0892;6078.25
31/12/2015 14:00:00;1.0892;1.08976;1.08824;1.08836;5922.76
31/12/2015 15:00:00;1.08833;1.08954;1.08796;1.08879;9585.46
31/12/2015 16:00:00;1.0888;1.08896;1.08758;1.08833;8344.05
31/12/2015 17:00:00;1.08825;1.0901;1.08603;1.08671;11692.63
31/12/2015 18:00:00;1.08671;1.08695;1.08539;1.08588;9919.77
31/12/2015 19:00:00;1.08585;1.08677;1.08532;1.08663;6306.53
31/12/2015 20:00:00;1.08661;1.08809;1.08615;1.087;6210.5
31/12/2015 21:00:00;1.087;1.08747;1.08574;1.0858;4190.88
31/12/2015 22:00:00;1.0858;1.08771;1.08579;1.08664;5000.15
31/12/2015 23:00:00;1.08661;1.08701;1.08537;1.08608;2884.2
